city,postal_code,latitude,longitude
Bad Kreuznach,"55543, 55545, 55583",49.8490413,7.8626661
Bad Krozingen,79189,47.9118288,7.7033313
Bad Laasphe,57334,50.9271541,8.4123648
Bad Langensalza,99947,51.1082267,10.6464452
Bad Lauchstädt,06246,51.3949623,11.9004966
Bad Lausick,04651,51.144234,12.6415822
Bad Lauterberg im Harz,37431,51.6313633,10.4706667
Bad Liebenstein,36448,50.8183801,10.3491578
Bad Liebenwerda,"04924, 04895, 04931",51.5158115,13.39272
Bad Liebenzell,75378,48.7712716,8.7321279
Bad Lippspringe,33175,51.7833,8.81667
Bad Lobenstein,07356,50.449292,11.6380757
Bad Marienberg (Westerwald),56470,50.65007605,7.948216997173178
Bad Mergentheim,97980,49.490532,9.7730692
Bad Münder am Deister,31848,52.1952894,9.4633959
Bad Münstereifel,53902,50.5545674,6.7636511
Bad Muskau,02953,51.5470046,14.7215146
Bad Nauheim,61231,50.3681107,8.7473608
Bad Nenndorf,31542,52.3360719,9.3769596
Bad Neuenahr-Ahrweiler,53474,50.5444551,7.1186671
Bad Neustadt an der Saale,97616,50.322637,10.2164873
Bad Oeynhausen,"32545, 32547, 32549",52.2014399,8.7981244
Bad Oldesloe,23843,53.8096562,10.3733692
Bad Orb,63619,50.2276774,9.3485142
Bad Pyrmont,31812,51.9850503,9.2434635
Bad Rappenau,74906,49.2393031,9.101268
Bad Reichenhall,83435,47.7222676,12.8760923
Bad Rodach,96476,50.3411272,10.7785015
Bad Sachsa,37441,51.5963629,10.5534235
Bad Säckingen,79713,47.5525538,7.9495387
Bad Salzdetfurth,31162,52.0595144,10.0064728
Bad Salzuflen,"32105, 32107, 32108",52.0771518,8.7554739
Bad Salzungen,"36433, 36469",50.812318,10.2320784
Bad Saulgau,88348,48.0158071,9.5010309
Bad Schandau,01814,50.918091,14.1534018
Bad Schmiedeberg,06905,51.6883775,12.7409236
Bad Schussenried,88427,48.0047363,9.6561098
Bad Schwalbach,65307,50.141688,8.071992
Bad Schwartau,23611,53.9196435,10.6978692
Bad Segeberg,23795,53.9422672,10.3137943
Bad Sobernheim,55566,49.7843963,7.6520457
Bad Soden am Taunus,65812,50.1517006,8.4899671
Bad Soden-Salmünster,63628,50.2801792,9.3704249
Bad Sooden-Allendorf,37242,51.2695391,9.9719975
Bad Staffelstein,96231,50.1028339,10.999159
Bad Sulza,"99518, 99510",51.04268865,11.618380272854765
Bad Sülze,18334,54.1119649,12.6581128
Bad Teinach-Zavelstein,75385,48.6993063,8.666538337106765
Bad Tennstedt,99955,51.1540155,10.8369361
Bad Tölz,83646,47.7610641,11.5582933
Bad Urach,72574,48.4937953,9.3978845
Bad Vilbel,61118,50.19339,8.74918
Bad Waldsee,88339,47.9209556,9.7542772
Bad Wildbad,75323,48.7502439,8.550301
Bad Wildungen,"34521, 34522, 34523, 34524, 34525, 34526, 34527, 34528, 34529, 34530, 34531, 34532, 34533, 34534, 34535, 34536, 34537",51.1202493,9.1252933
Bad Wilsnack,19336,52.9556782,11.9448627
Bad Wimpfen,74206,49.2303439,9.1621599
Bad Windsheim,91438,49.5020006,10.4175301
Bad Wörishofen,86825,48.0059852,10.5921263
Bad Wünnenberg,33181,51.5169114,8.6986809
Bad Wurzach,88410,47.9078673,9.8949405
Baesweiler,52499,50.9074568,6.1826282
Baiersdorf,91083,49.6568679,11.0311232
Balingen,72336,48.2737512,8.8557862
Ballenstedt,06493,51.722527,11.2290268
Balve,58802,51.3326498,7.8670563
Bamberg,"96047, 96049, 96050, 96052",49.8916044,10.8868478
Barby,"39249, 39240",51.9666473,11.8860511
Bargteheide,22941,53.7279671,10.2618075
Barmstedt,25355,53.7889203,9.7703927
Bärnau,95671,49.8109931,12.4304633
Barntrup,32683,51.9909552,9.1127565
Barsinghausen,30890,52.30223,9.4623741
Barth,18356,54.3690547,12.7258585
Baruth/Mark,15837,52.0462945,13.5019022
Bassum,27211,52.8495881,8.728382
Battenberg (Eder),35088,51.0323524,8.6112782
Baumholder,55774,49.6167,7.33333
Baunach,96148,49.9853262,10.8511236
Baunatal,34225,51.2550775,9.4119007
Bautzen,02625,51.1813907,14.4275735
Bayreuth,"95444, 95445, 95447, 95448",49.9427202,11.5763079
Bebra,36179,50.9835038,9.8388054
Beckum,59269,51.7555148,8.041135
Bedburg,50181,50.9972161,6.5767648
Beelitz,14547,52.2363582,12.9700041
Beeskow,15848,52.1721569,14.2471058
Beilngries,"92339, 92345",49.035279,11.4733811
Beilstein,"71717, 71543, 71720",50.1092636,7.241076
Belgern-Schildau,"04874, 04889",51.4456448,12.9301967
Bendorf,56170,50.4238296,7.5732901
Bensheim,64625,49.6977,8.6288
Berching,92334,49.1062614,11.4397894
Berga-Wünschendorf,"07980, 07570",50.7607112,12.1361757
Bergen,29303,49.7808936,7.4176059
Bergen auf Rügen,18528,54.4172673,13.4305634
Bergheim,"50126, 50127, 50129",50.9540457,6.6410004
Bergisch Gladbach,"51427, 51429, 51465, 51467, 51469",50.9929303,7.1277379
Bergkamen,59192,51.6149389,7.6362876
Bergneustadt,51702,51.0207425,7.6490729
