city,postal_code,latitude,longitude
Bad Mergentheim,"97980
",49.490532,9.7730692
Bad Münder am Deister,"31848
",52.1952894,9.4633959
Bad Münstereifel,"53902
",50.5545674,6.7636511
Bad Muskau,"02953
",51.5470046,14.7215146
Bad Nauheim,"61231
",50.3681107,8.7473608
Bad Nenndorf,"31542
",52.3360719,9.3769596
Bad Neuenahr-Ahrweiler,"53474
",50.5444551,7.1186671
Bad Neustadt an der Saale,"97616
",50.322637,10.2164873
Bad Oeynhausen,"32545, 32547, 32549
",52.2014399,8.7981244
Bad Oldesloe,"23843
",53.8096562,10.3733692
Bad Orb,"63619
",50.2276774,9.3485142
Bad Pyrmont,"31812
",51.9850503,9.2434635
Bad Rappenau,"74906
",49.2393031,9.101268
Bad Reichenhall,"83435
",47.7222676,12.8760923
Bad Rodach,"96476
",50.3411272,10.7785015
Bad Sachsa,"37441
",51.5963629,10.5534235
Bad Säckingen,"79713
",47.5525538,7.9495387
Bad Salzdetfurth,"31162
",52.0595144,10.0064728
Bad Salzuflen,"32105, 32107, 32108
",52.0771518,8.7554739
Bad Salzungen,"36433, 36469[2]
",50.812318,10.2320784
Bad Saulgau,"88348
",48.0158071,9.5010309
Bad Schandau,"01814
",50.918091,14.1534018
Bad Schmiedeberg,"06905
",51.6883775,12.7409236
Bad Schussenried,"88427
",48.0047363,9.6561098
Bad Schwalbach,"65307
",50.141688,8.071992
Bad Schwartau,"23611
",53.9196435,10.6978692
Bad Segeberg,"23795
",53.9422672,10.3137943
Bad Sobernheim,"55566
",49.7843963,7.6520457
Bad Soden am Taunus,"65812
",50.1517006,8.4899671
Bad Soden-Salmünster,"63628
",50.2801792,9.3704249
Bad Sooden-Allendorf,"37242
",51.2695391,9.9719975
Bad Staffelstein,"96231
",50.1028339,10.999159
Bad Sulza,"99518, 99510
",51.04268865,11.618380272854765
Bad Sülze,"18334
",54.1119649,12.6581128
Bad Teinach-Zavelstein,"75385
",48.6993063,8.666538337106765
Bad Tennstedt,"99955
",51.1540155,10.8369361
Bad Tölz,"83646
",47.7610641,11.5582933
Bad Urach,"72574
",48.4937953,9.3978845
Bad Vilbel,"61118
",50.19339,8.74918
Bad Waldsee,"88339
",47.9209556,9.7542772
Bad Wildbad,"75323
",48.7502439,8.550301
Bad Wildungen,"34521–34537
",51.1202493,9.1252933
Bad Wilsnack,"19336
",52.9556782,11.9448627
Bad Wimpfen,"74206
",49.2303439,9.1621599
Bad Windsheim,"91438
",49.5020006,10.4175301
Bad Wörishofen,"86825
",48.0059852,10.5921263
Bad Wünnenberg,"33181
",51.5169114,8.6986809
Bad Wurzach,"88410
",47.9078673,9.8949405
Baesweiler,"52499
",50.9074568,6.1826282
Baiersdorf,"91083
",49.6568679,11.0311232
Balingen,"72336
",48.2737512,8.8557862
Ballenstedt,"06493
",51.722527,11.2290268
Balve,"58802
",51.3326498,7.8670563
Bamberg,"96047, 96049, 96050, 96052
",49.8916044,10.8868478
Barby,"39249,39240 (Breitenhagen, Groß Rosenburg, Lödderitz, Sachsendorf, Zuchau)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.9666473,11.8860511
Bargteheide,"22941
",53.7279671,10.2618075
Barmstedt,"25355
",53.7889203,9.7703927
Bärnau,"95671
",49.8109931,12.4304633
Barntrup,"32683
",51.9909552,9.1127565
Barsinghausen,"30890
",52.30223,9.4623741
Barth,"18356
",54.3690547,12.7258585
Baruth/Mark,"15837
",52.0462945,13.5019022
Bassum,"27211
",52.8495881,8.728382
Battenberg (Eder),"35088
",51.0323524,8.6112782
Baumholder,"55774
",49.6167,7.33333
Baunach,"96148
",49.9853262,10.8511236
Baunatal,"34225
",51.2550775,9.4119007
Bautzen,"02625
",51.1813907,14.4275735
Bayreuth,"95444, 95445, 95447, 95448
",49.9427202,11.5763079
Bebra,"36179
",50.9835038,9.8388054
Beckum,"59269
",51.7555148,8.041135
Bedburg,"50181
",50.9972161,6.5767648
Beelitz,"14547
",52.2363582,12.9700041
Beeskow,"15848
",52.1721569,14.2471058
Beilngries,"92339, 92345
",49.035279,11.4733811
Beilstein,"71717, 71543, 71720Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",50.1092636,7.241076
Belgern-Schildau,"04874, 04889Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text Vorlage:Infobox Verwaltungseinheit in Deutschland/Wartung/PLZ falsch
",51.4456448,12.9301967
Bendorf,"56170
",50.4238296,7.5732901
Bensheim,"64625
",49.6977,8.6288
Berching,"92334
",49.1062614,11.4397894
Berga-Wünschendorf,"07980, 07570
",50.7607112,12.1361757
Bergen,"29303
",49.7808936,7.4176059
Bergen auf Rügen,"18528
",54.4172673,13.4305634
Bergheim,"50126, 50127, 50129
",50.9540457,6.6410004
Bergisch Gladbach,"51427, 51429, 51465, 51467, 51469
",50.9929303,7.1277379
Bergkamen,"59192
",51.6149389,7.6362876
Bergneustadt,"51702
",51.0207425,7.6490729
Berlin,"10115–14199
",52.5170365,13.3888599
Bernau bei Berlin,"16321
",52.6787254,13.5881114
Bernburg (Saale),"06406, 06392
",51.7930788,11.7391606
Bernkastel-Kues,"54470
",49.9157398,7.0708181
Bernsdorf,"02994
",51.3710839,14.0694111
Bernstadt a. d. Eigen,"02748
",51.0474279,14.8269241
Bersenbrück,"49593
",52.5553293,7.9471842
Besigheim,"74354
",48.9996364,9.1417523
Betzdorf,"57518
",50.7879961,7.8723802
Betzenstein,"91282
",49.6808025,11.4177797
Beverungen,"37688
",51.6676535,9.3759072
Bexbach,"66441–66450
",49.347299,7.2548948
Biberach an der Riß,"88400
",48.0984413,9.7899938
Biedenkopf,"35216
",50.9158122,8.5270214
Bielefeld,"33602 – 33739
",52.0191005,8.531007
Biesenthal,"16359
",52.7664978,13.6289589
Bietigheim-Bissingen,"74321
",48.9502631,9.1383314
Billerbeck,"48727
",51.9773625,7.290923
Bingen am Rhein,"55411
",49.9667,7.9
Birkenfeld,"55765
",49.6488236,7.1647477
Bischofsheim in der Rhön,"97653
",50.4011137,10.0075314
Bischofswerda,"01877
",51.1277815,14.1795516
Bismark (Altmark),"39628, 39629
",52.6635807,11.555459
Bitburg,"54634
",49.9732762,6.524947
Bitterfeld-Wolfen,"06749, 06766, 06803, 06808
",51.6425032,12.3076334
Blankenburg (Harz),"06502 (Timmenrode),38889 (Blankenburg (Harz), Cattenstedt, Heimburg, Hüttenrode, Wienrode),38895 (Derenburg)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.7902676,10.9551991
Blankenhain,"99444
",50.8604751,11.3418229
Blaubeuren,"89143
",48.4121233,9.7847091
Blaustein,"89134
",48.4159247,9.9187625
Bleckede,"21354, 19273Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",53.287562,10.731247
Bleicherode,"99752
",51.4400566,10.5727462
Blieskastel,"66440
",49.2370918,7.2599036
Blomberg,"32825
",51.9434473,9.0967908
Blumberg,"78176
",47.8401424,8.534081
Bobingen,"86399
",48.2687941,10.8337852
Böblingen,"71032, 71034
",48.684969,9.0113444
Bocholt,"46395, 46397, 46399
",51.8382715,6.6148669
Bochum,"44787–44894
",51.4818111,7.2196635
Bockenem,"31167
",52.0111484,10.1331159
Bodenwerder,"37619
",51.9752481,9.5139063
Bogen,"94327
",48.9082826,12.7185426
Böhlen,"04564
",51.2027284,12.3859676
Boizenburg/Elbe,"19258
",53.375079,10.7232364
Bonn,"53111–53129, 53173–53179, 53225, 53227, 53229Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text Vorlage:Infobox Verwaltungseinheit in Deutschland/Wartung/PLZ falsch
",50.735851,7.10066
Bonndorf im Schwarzwald,"79848
",47.8195619,8.3420691
Bönnigheim,"74357
",49.0417185,9.0933985
Bopfingen,"73441
",48.8577633,10.3523096
Boppard,"56154
",50.2312823,7.5885884
Borgentreich,"34434
",51.5702348,9.2362761
Borgholzhausen,"33829
",52.1007247,8.3023897
Borken,"46325
",51.8444777,6.8583277
Borken (Hessen),"34582
",51.0579472,9.2918981
Borkum,"26757
",53.5902946,6.6682175
Borna,"04552
",51.1241649,12.4999055
Bornheim,"53332
",50.7627913,6.9890508
Bottrop,"46236–46244
",51.521581,6.929204
Boxberg,"97944
",50.2731793,6.8751755
Brackenheim,"74336
",49.0784228,9.067437
Brake (Unterweser),"26919
",53.3256109,8.4806296
Brakel,"33034
",51.7168889,9.1841762
Bramsche,"49565
",52.4076948,7.979647
Brandenburg an der Havel,"14770–14776
",52.4108261,12.5497933
Brand-Erbisdorf,"09618
",50.8705512,13.3247933
Brandis,"04821,04824 (Beucha)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.3346604,12.6089036
Braubach,"56338
",50.2751222,7.651073
Braunfels,"35619
",50.5152452,8.390132
Braunlage,"38700, 37444Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.7264388,10.6100516
Bräunlingen,"78199
",47.9300645,8.448329
Braunsbedra,"06242, 06259Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.2840933,11.8855493
Braunschweig,"38100–38126
",52.2646577,10.5236066
Breckerfeld,"58339
",51.2605046,7.4670542
Bredstedt,"25821
",54.6236326,8.9640834
Breisach am Rhein,"79206
",48.0291415,7.5806123
Bremen,"28195–28779
",53.0758196,8.8071646
Bremerhaven,"27568–27580
",53.5505392,8.5851945
Bremervörde,"27432
",53.4850249,9.1362085
Bretten,"75015
",49.0366265,8.7068077
Breuberg,"64747
",49.8237774,9.0297787
Brilon,"59929
",51.3955721,8.5677743
Brotterode-Trusetal,"98596
",50.7859635,10.4062727
Bruchköbel,"63486
",50.1845,8.9369
Bruchsal,"76646
",49.124118,8.5980244
Brück,"14822
",52.1923564,12.7584313
Brüel,"19412
",53.7344671,11.7158035
Brühl,"50321
",50.8291313,6.9037057
Brunsbüttel,"25541
",53.8972549,9.1395423
Brüssow,"17326
",53.3994602,14.126711
Buchen (Odenwald),"74722
",49.5222974,9.3243187
Buchholz in der Nordheide,"21244
",53.3333021,9.8666653
Buchloe,"86807
",48.0361382,10.7241879
Bückeburg,"31675
",52.2611037,9.0488959
Buckow (Märkische Schweiz),"15377
",52.5672167,14.0761529
Büdelsdorf,"24782
",54.3164345,9.6710695
Büdingen,"63654
",50.2972353,9.0990829
Bühl,"77815
",48.6945066,8.134423
Bünde,"32257
",52.2004727,8.5828944
Büren,"33142
",51.5497446,8.573474968213432
Burg,"39288
",49.9600346,6.3512069
Burgau,"89331
",48.4312893,10.4065009
Burgbernheim,"91593
",49.4513351,10.3229575
Burgdorf,"31303
",52.4438008,10.0078364
Bürgel,"07616
",50.9424523,11.7574105
Burghausen,"84489
",48.1689863,12.8304816
Burgkunstadt,"96224
",50.1428821,11.2515508
Burglengenfeld,"93133
",49.2071077,12.03996
Burgstädt,"09217
",50.9199843,12.8056571
Burg Stargard,"17094
",53.4956816,13.3097058
Burgwedel,"30938
",52.5,9.86667
Burladingen,"72393
",48.2892852,9.1134689
Burscheid,"51399
",51.0824722,7.1212314
Bürstadt,"68642
",49.6531823,8.4747076
Butzbach,"35510
",50.4340422,8.6711184
Bützow,"18246
",53.8500047,11.9832952
Buxtehude,"21614
",53.4767351,9.7003941
Calau,"03205
",51.7466674,13.949307
Calbe (Saale),"39240
",51.9034006,11.7761208
Calw,"75365
",48.7112108,8.7452043
Castrop-Rauxel,"44575, 44577, 44579, 44581
",51.5646195,7.3106175
Celle,"29221–29229
",52.624056,10.081052
Cham,"93413
",49.2178194,12.6663832
Chemnitz,"09111–09131, 09224, 09228, 09247Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",50.8323531,12.918914
Clausthal-Zellerfeld,"38678, 38707, 38709, 38667
",51.8070405,10.3364483
Clingen,"99718
",51.2346746,10.9293611
Cloppenburg,"49661
",52.8461339,8.0438783
Coburg,"96450
",50.258112,10.964463
Cochem,"56812
",50.1483916,7.1663195
Coesfeld,"48653
",51.9458943,7.1691108
Colditz,"04680
",51.1295496,12.8065842
Coswig,"01640
",51.8803541,12.458638
Coswig (Anhalt),"06868, 06869
",51.8803541,12.458638
Cottbus,"03042–03055
",51.7567447,14.3357307
Crailsheim,"74564, 74597
",49.1365626,10.0720195
Creglingen,"97993, 97990
",49.4701503,10.0325388
Creußen,"95473
",49.8438482,11.6252782
Crimmitschau,"08451
",50.8162378,12.3867217
Crivitz,"19089
",53.5781613,11.6470654
Cuxhaven,"27472, 27474, 27476, 27478
",53.58724195,8.88407915140169
Daaden,"57567
",50.7391746,7.96766
Dachau,"85221
",48.2592477,11.4354419
Dahlen,"04774
",51.3660978,12.9984348
Dahme/Mark,"15936
",51.8699392,13.4284903
Dahn,"66994
",49.1493317,7.7802569
Damme,"49401
",52.5212651,8.1957974
Dannenberg (Elbe),"29451
",53.1045441,11.1179194
Dargun,"17159
",53.9,12.85
Darmstadt,"64283–64297
",49.8851869,8.6736295
Dassel,"37586
",51.8019566,9.6899606
Dassow,"23942
",53.9089582,10.9756958
Datteln,"45711
",51.651468,7.3385906
Daun,"54550
",50.1962461,6.8305031
Deggendorf,"94469,94526 (Lehmberg)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",48.7814115,13.0006423
Deidesheim,"67146
",49.4075922,8.1859168
Delbrück,"33129
",51.7649178,8.5594953
Delitzsch,"04509
",51.5255661,12.342857
Delmenhorst,"27749, 27751, 27753, 27755
",53.048095,8.6286066
Demmin,"17109
",53.9070019,13.0327836
Dessau-Roßlau,"06842–06849,06861, 06862Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.8465924,12.2312238
Detmold,"32756, 32758, 32760
",51.936284,8.8791526
Dettelbach,"97335, 97337
",49.8022738,10.1612858
Dieburg,"64807
",49.8949312,8.8368946
Diemelstadt,"34474
",51.4813132,8.992125
Diepholz,"49356
",52.7478987,8.761526143598829
Dierdorf,"56269
",50.5478886,7.6564407
Dietenheim,"89165
",48.2153851,10.0705695
Dietfurt an der Altmühl,"92345
",49.0362476,11.5835436
Dietzenbach,"63128
",50.0171926,8.784277
Diez,"65582
",50.3694175,8.0174521
Dillenburg,"35683–35690
",50.7404535,8.2874957
Dillingen an der Donau,"89407
",48.5812547,10.4951425
Dillingen/Saar,"66763
",49.3552721,6.7243197
Dingelstädt,"37351
",51.312112600000006,10.311077257458898
Dingolfing,"84130
",48.6300801,12.4977434
Dinkelsbühl,"91550
",49.0692306,10.3223475
Dinklage,"49413
",52.6626633,8.1212801
Dinslaken,"46535, 46537, 46539
",51.5623618,6.7345106
Dippoldiswalde,"01744
",50.882202750000005,13.659452632021722
Dissen am Teutoburger Wald,"49201
",52.115769,8.2034345
Ditzingen,"71254
",48.8263983,9.0658446
Döbeln,"04720
",51.1167001,13.1166999
Doberlug-Kirchhain,"03253
",51.6219804,13.5660433
Döbern,"03159
",51.6147262,14.5972172
Dohna,"01809
",50.955232,13.8587012
Dömitz,"19303
",53.1384884,11.2609279
Dommitzsch,"04880
",51.6401155,12.8818456
Donaueschingen,"78166
",47.9534194,8.4959257
Donauwörth,"86609
",48.7180364,10.7807299
Donzdorf,"73072
",48.6856725,9.8107595
Dorfen,"84405, 84428
",48.2746357,12.1530097
Dormagen,"41539–41542
",51.0941656,6.8407931
Dornburg-Camburg,"07774, 07778Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.01219675,11.672953668175257
Dornhan,"72175
",48.3502837,8.5078535
Dornstetten,"72280
",48.4663553,8.5012993
Dorsten,"46282, 46284, 46286
",51.6604071,6.9647431
Dortmund,"44135–44388
",51.5142273,7.4652789
Dransfeld,"37125,37127
",51.50528645,9.768435740414162
Drebkau,"03116
",51.6577353,14.2204983
Dreieich,"63303
",50.011974,8.7123912
Drensteinfurt,"48317
",51.7972657,7.7418147
Dresden,"01067–01328, 01465
",51.0493286,13.7381437
Drolshagen,"57489
",51.0239917,7.7740693
Duderstadt,"37115
",51.5123672,10.2610699
Duisburg,"47051–47279
",51.434999,6.759562
Dülmen,"48249
",51.8283677,7.2791406
Düren,"52349, 52351, 52353, 52355
",50.8031684,6.4820806
Düsseldorf,"40210–40629
",51.2254018,6.7763137
Ebeleben,"99713
",51.2827699,10.7302423
Eberbach,"69412, 64754, 69429, 69434Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",49.4635303,8.9855203
Ebermannstadt,"91320
",49.7802113,11.1875112
Ebern,"96106
",50.0943461,10.7950972
Ebersbach an der Fils,"73061
",48.7149061,9.5259189
Ebersbach-Neugersdorf,"02730 (Ebersbach) 02727 (Neugersdorf)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",51.0007273,14.5986609
Ebersberg,"85560
",48.0765786,11.9647521
Eberswalde,"16225, 16227
",52.8350807,13.7996542
Eckartsberga,"06648
",51.1231891,11.5604073
Eckernförde,"24340
",54.4716456,9.8374947
Edenkoben,"67480
",49.282236,8.1284357
Egeln,"39435
",51.9400891,11.4273755
Eggenfelden,"84307
",48.4031909,12.7626208
Eggesin,"17367,17375 (Hoppenwalde)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",53.6820915,14.077945
Ehingen (Donau),"89584
",48.2828519,9.7262175
Ehrenfriedersdorf,"09427
",50.6442951,12.9675018
Eibelstadt,"97246
",49.7243433,10.0002727
Eibenstock,"08309
",50.4951715,12.5983957
Eichstätt,"85072
",48.8933417,11.1838965
Eilenburg,"04838
",51.4586736,12.6344389
Einbeck,"37574
",51.8185067,9.8678465
Eisenach,"99817
",50.9747134,10.3193565
Eisenberg,"07607
",50.9691346,11.8961116
Eisenberg (Pfalz),"67304
",49.5589556,8.0732258
Eisenhüttenstadt,"15890
",52.1448863,14.6294413
Eisfeld,"98673
",50.4269984,10.908994
Eisleben,"06295
",51.5283282,11.5465911
Eislingen/Fils,"73054
",48.6986798,9.7065009
Ellingen,"91792
",49.0615224,10.9693369
Ellrich,"99755
",51.587313,10.6649031
Ellwangen (Jagst),"73479
",48.9615975,10.131975
Elmshorn,"25335–25337
",53.7532486,9.6524559
Elsdorf,"50189
",50.9371308,6.5698302
Elsfleth,"26931
",53.2357029,8.4571037
Elsterberg,"07985
",50.6036333,12.176645
Elsterwerda,"04910
",51.4614993,13.5204883
Elstra,"01920
",51.220516,14.1350305
Elterlein,"09481
",50.5769435,12.8688973
Eltmann,"97483
",49.9725016,10.6662064
Eltville am Rhein,"65343–65347
",50.0275441,8.1189741
Elzach,"79215
",48.1757263,8.0718474
Elze,"31008
",52.1187857,9.7386084
Emden,"26721, 26723, 26725
",53.3670541,7.2058304
Emmelshausen,"56281
",50.1557618,7.5557802
Emmendingen,"79312
",48.122497800000005,7.865381383244456
Emmerich am Rhein,"46446
",51.8322137,6.2428283
Emsdetten,"48282
",52.174687,7.5301756
Endingen am Kaiserstuhl,"79346
",48.1412922,7.6999031
Engen,"78234
",47.8532383,8.7704457
Enger,"32130
",52.1394015,8.5588818
Ennepetal,"58256
",51.2967192,7.3693335
Ennigerloh,"59320
",51.8359553,8.0255988
Eppelheim,"69214
",49.4025,8.63306
Eppingen,"75031
",49.1373277,8.9084374
Eppstein,"65817
",50.155,8.3803
Erbach,"89155
",48.3274603,9.8913803
Erbach (Odenwald),"64711,64743 (Marbach)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",49.6376,9.013
Erbendorf,"92681, 92690
",49.837847,12.0481655
Erding,"85435
",48.3064441,11.9076579
Erftstadt,"50374
",50.8027168,6.8031625
Erfurt,"99084–99099
",50.9777974,11.0287364
Erkelenz,"41812
",51.080992,6.3160684
Erkner,"15537
",52.4259804,13.7542811
Erkrath,"40699
",51.2209866,6.9056079
Erlangen,"91052, 91054, 91056, 91058
",49.5928616,11.0056
Erlenbach am Main,"63906
",49.8046171,9.1594708
Erlensee,"63526,63543 (Bei den Tongruben)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text
",50.1624394,8.9846455
Erwitte,"59597
",51.61431,8.3396662
